tms,Rx1,Ry1,Rx2,Ry2,Vx1,Vy1,Vx2,Vy2
1231.5,54.380117976838406,159.95314884008147,68.26283765347978,177.29610372076013,-1.1492956614981702,1.0470914900536277,1.7716927815266101,0.4397278844225641
1231.5500000000002,54.330553184385394,160.00056702687522,68.34837064580525,177.31090953225123,-1.146171039653308,1.0509949165389876,1.768568159681748,0.43582445793720415
1231.6000000000001,54.27507778903666,160.04520127137394,68.44889973252135,177.33067178838917,-1.1430244134996834,1.0548806267506896,1.7654215335281234,0.43193874772550206
1231.65,54.22278064160517,160.08298030699365,68.55333059125783,177.34570613909608,-1.1398540508518193,1.0587469946433026,1.7622511708802593,0.42807237983288915
1231.7,54.158802817187805,160.13172508793176,68.63660601680527,177.35617668747835,-1.1366603755091584,1.0625941283562998,1.7590574955375984,0.4242252461198919
1231.75,54.10705831746509,160.1971616678832,68.7209959137523,177.37250837300678,-1.1334432082971453,1.0664216386606553,1.7558403283255852,0.4203977358155363
1231.8000000000002,54.05402344269397,160.25644006244087,68.82375645954048,177.39903629703988,-1.1302030496204347,1.0702297053288923,1.7526001696488747,0.4165896691472993
1231.8500000000001,53.99125376097479,160.30456382782907,68.90379230954909,177.42745258337476,-1.1269394122846343,1.074017669338802,1.7493365323130743,0.41280170513738973
1231.9,53.933153556804264,160.36303244256217,68.99792895913978,177.4322992324151,-1.123655626917189,1.077788180399726,1.7460527469456288,0.4090311940764656
1231.95,53.90649973634763,160.40465745365827,69.0968398556427,177.47910028361244,-1.1203470670945492,1.0815369711247487,1.7427441871229892,0.40528240335144305
1232.0,53.85525596467075,160.46101364475123,69.19205929645098,177.4957181659356,-1.117023652333147,1.085272598826179,1.7394207723615869,0.4015467756500127
1232.0500000000002,53.79838602046946,160.4945977341193,69.2777076514611,177.50406276871797,-1.113678157540876,1.0889884654269721,1.736075277569316,0.39783090904921964
1232.1000000000001,53.75202316523535,160.56257037991693,69.36747840110036,177.5304958494439,-1.110312869089468,1.092686415350757,1.7327099891179079,0.39413295912543495
